file_name	feature_index	geometry_type	part_index	coordinates
Sim2.json	0	Point	0	[628423.0906324015, 4117275.4361332664]
Sim2.json	1	Point	0	[629365.6172500495, 4117006.9002305735]
Sim2.json	2	Point	0	[629438.1119846186, 4116796.0573942084]
Sim2.json	3	Point	0	[629474.4719247721, 4116625.718809152]
Sim3.json	0	Point	0	[628571.0228662394, 4117064.629264027]
Sim3.json	1	Point	0	[628806.2598237001, 4116892.891855403]
Sim3.json	2	Point	0	[629085.7353581728, 4116731.826953768]
Sim3.json	3	Point	0	[629268.2645469041, 4116698.008971633]
Sim1.json	0	Point	0	[628639.5861856977, 4117399.7047381266]
Sim1.json	1	Point	0	[628819.5302572916, 4117243.7682948946]
Sim1.json	2	Point	0	[628937.2668676096, 4117150.135987087]
Sim1.json	3	Point	0	[629048.2821809289, 4117089.693902736]
Sim1.json	4	Point	0	[629285.290269529, 4117149.929793364]
