log_likelihood_fail_linear_any_nominal,log_likelihood_fail_linear_any_sampled,log_likelihood_fail_log_any_nominal,log_likelihood_fail_log_any_sampled,log_likelihood_fail_linear_all_nominal,log_likelihood_fail_linear_all_sampled,log_likelihood_fail_log_all_nominal,log_likelihood_fail_log_all_sampled,log_likelihood_fail_linear_half_nominal,log_likelihood_fail_linear_half_sampled,log_likelihood_fail_log_half_nominal,log_likelihood_fail_log_half_sampled
-31.316295222156974,-31.22336093059769,-31.316295222156974,-31.22336093059769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-31.802893017236777,-25.12617218061222,-31.802893017236777,-25.12617218061222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-31.941488633249534,-25.33249027109701,-32.01256825659219,-22.841415310324336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-32.01256825659219,-22.841415310324336,-32.10322667164592,-24.863249431170992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-32.10322667164592,-24.863249431170992,-32.107636712103165,-26.163103432222044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-32.107636712103165,-26.163103432222044,-32.46773494456234,-27.148708820167503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-32.46773494456234,-27.148708820167503,-32.76695896016524,-26.691570356597296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-32.76695896016524,-26.691570356597296,-32.84590742197622,-28.37991727353893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-32.84590742197622,-28.37991727353893,-32.91614987976702,-24.8347632185955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-32.91614987976702,-24.8347632185955,-33.11105108692159,-25.369799061072108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
