log_likelihood_fail_linear_any_nominal,log_likelihood_fail_linear_any_sampled,log_likelihood_fail_log_any_nominal,log_likelihood_fail_log_any_sampled,log_likelihood_fail_linear_all_nominal,log_likelihood_fail_linear_all_sampled,log_likelihood_fail_log_all_nominal,log_likelihood_fail_log_all_sampled,log_likelihood_fail_linear_half_nominal,log_likelihood_fail_linear_half_sampled,log_likelihood_fail_log_half_nominal,log_likelihood_fail_log_half_sampled
-25.714585265778382,-21.871362333276295,-25.714585265778382,-21.871362333276295,NaN,NaN,NaN,NaN,-26.883242128654103,-23.27184108643602,-30.97885048599534,-23.308826230428764
-26.271937573491414,-20.55892089136901,-26.271937573491414,-20.55892089136901,NaN,NaN,NaN,NaN,-27.104592466963858,-20.6741345115168,-31.220605330545872,-22.10890257702652
-26.883242128654103,-23.27184108643602,-26.883242128654103,-23.27184108643602,NaN,NaN,NaN,NaN,-27.36898600215522,-20.52840942117722,-31.303470137405565,-25.027499251037753
-27.104592466963858,-20.6741345115168,-27.104592466963858,-20.6741345115168,NaN,NaN,NaN,NaN,-27.461749791725524,-20.55632139822574,-32.1385105041154,-22.670184089270784
-27.36898600215522,-20.52840942117722,-27.36898600215522,-20.52840942117722,NaN,NaN,NaN,NaN,-27.83174795270864,-25.505998401368448,-32.757037624164994,-24.886621628146415
-27.461749791725524,-20.55632139822574,-27.461749791725524,-20.55632139822574,NaN,NaN,NaN,NaN,-28.118305940786975,-18.770856707796188,-32.88507956378869,-21.654899906332858
-27.83174795270864,-25.505998401368448,-27.83174795270864,-25.505998401368448,NaN,NaN,NaN,NaN,-28.236485746204174,-25.756859139915797,-32.956309590604,-24.00983374355967
-27.97042010397356,-24.748041516406527,-27.97042010397356,-24.748041516406527,NaN,NaN,NaN,NaN,-28.371100696990943,-20.510850232758862,-33.154717960007105,-24.452423660379516
-28.118305940786975,-18.770856707796188,-28.118305940786975,-18.770856707796188,NaN,NaN,NaN,NaN,-28.479313567783024,-22.425477531871657,-33.41778528364334,-23.71533342869273
-28.236485746204174,-25.756859139915797,-28.236485746204174,-25.756859139915797,NaN,NaN,NaN,NaN,-28.606998209586074,-26.23214970603597,-33.762056324263064,-24.143734939880453
