log_likelihood_fail_linear_any_nominal,log_likelihood_fail_linear_any_sampled,log_likelihood_fail_log_any_nominal,log_likelihood_fail_log_any_sampled,log_likelihood_fail_linear_all_nominal,log_likelihood_fail_linear_all_sampled,log_likelihood_fail_log_all_nominal,log_likelihood_fail_log_all_sampled,log_likelihood_fail_linear_half_nominal,log_likelihood_fail_linear_half_sampled,log_likelihood_fail_log_half_nominal,log_likelihood_fail_log_half_sampled
-25.714585265778382,-21.871362333276295,-25.714585265778382,-21.871362333276295,NaN,NaN,NaN,NaN,-26.271937573491414,-20.55892089136901,-27.104592466963858,-20.6741345115168
-26.271937573491414,-20.55892089136901,-26.271937573491414,-20.55892089136901,NaN,NaN,NaN,NaN,-26.883242128654103,-23.27184108643602,-28.118305940786975,-18.770856707796188
-26.883242128654103,-23.27184108643602,-26.883242128654103,-23.27184108643602,NaN,NaN,NaN,NaN,-27.104592466963858,-20.6741345115168,-28.479313567783024,-22.425477531871657
-27.104592466963858,-20.6741345115168,-27.104592466963858,-20.6741345115168,NaN,NaN,NaN,NaN,-27.36898600215522,-20.52840942117722,-28.66725860075878,-22.85700411495225
-27.36898600215522,-20.52840942117722,-27.36898600215522,-20.52840942117722,NaN,NaN,NaN,NaN,-27.461749791725524,-20.55632139822574,-28.90282322389215,-24.01396308456006
-27.461749791725524,-20.55632139822574,-27.461749791725524,-20.55632139822574,NaN,NaN,NaN,NaN,-27.97042010397356,-24.748041516406527,-29.400488694738332,-28.09669725445119
-27.83174795270864,-25.505998401368448,-27.83174795270864,-25.505998401368448,NaN,NaN,NaN,NaN,-28.118305940786975,-18.770856707796188,-29.49008056842369,-22.42568599548391
-27.97042010397356,-24.748041516406527,-27.97042010397356,-24.748041516406527,NaN,NaN,NaN,NaN,-28.236485746204174,-25.756859139915797,-30.174769970918906,-21.691863066903238
-28.118305940786975,-18.770856707796188,-28.118305940786975,-18.770856707796188,NaN,NaN,NaN,NaN,-28.371100696990943,-20.510850232758862,-30.754140874971153,-20.60929130667004
-28.236485746204174,-25.756859139915797,-28.236485746204174,-25.756859139915797,NaN,NaN,NaN,NaN,-28.479313567783024,-22.425477531871657,-30.97885048599534,-23.308826230428764
