file_name	feature_index	geometry_type	part_index	coordinates
Sim2.json	0	Point	0	[562790.6182066029, 4570071.5662096245]
Sim2.json	1	Point	0	[562796.3703332695, 4569696.353442203]
Sim2.json	2	Point	0	[562938.1412338122, 4569283.457953223]
Sim2.json	3	Point	0	[560301.0035897278, 4572152.179143775]
Sim2.json	4	Point	0	[559891.9650871089, 4571800.181803598]
Sim2.json	5	Point	0	[560008.3422334321, 4571192.730963809]
Sim2.json	6	Point	0	[560902.2745249788, 4572239.350711233]
Sim2.json	7	Point	0	[561521.6829113937, 4571863.754079219]
Sim2.json	8	Point	0	[561983.0495944561, 4571273.693054509]
Sim2.json	9	Point	0	[562526.8040228435, 4570947.496401325]
Sim2.json	10	Point	0	[563022.229985224, 4570308.941567467]
Sim2.json	11	Point	0	[560434.5157221678, 4572508.565311158]
