file_name	feature_index	geometry_type	part_index	coordinates
Sim3.json	0	Point	0	[562790.6182066029, 4570071.5662096245]
Sim3.json	1	Point	0	[562796.3703332695, 4569696.353442203]
Sim3.json	2	Point	0	[562938.1412338122, 4569283.457953223]
Sim3.json	3	Point	0	[560301.0035897278, 4572152.179143775]
Sim3.json	4	Point	0	[559891.9650871089, 4571800.181803598]
Sim3.json	5	Point	0	[560008.3422334321, 4571192.730963809]
Sim3.json	6	Point	0	[560383.7433626446, 4571061.500400822]
Sim3.json	7	Point	0	[560812.9147667516, 4570810.832643492]
Sim3.json	8	Point	0	[561192.0714677075, 4570436.5320205875]
Sim3.json	9	Point	0	[561581.3635586618, 4570056.785246023]
Sim3.json	10	Point	0	[562123.3274612605, 4569556.234569304]
Sim3.json	11	Point	0	[560902.2745249788, 4572239.350711233]
Sim3.json	12	Point	0	[561521.6829113937, 4571863.754079219]
Sim3.json	13	Point	0	[561983.0495944561, 4571273.693054509]
Sim3.json	14	Point	0	[562526.8040228435, 4570947.496401325]
Sim3.json	15	Point	0	[563022.229985224, 4570308.941567467]
Sim3.json	16	Point	0	[560434.5157221678, 4572508.565311158]
